TipoAlimento,Alimento,provincia,periodo,temperatura,Ventas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Banana,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,NEUQUEN,Verano,temp3_17_22,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Frutillas,TUCUMAN,Verano,temp4_22_up,ventasMinimas
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,CABA,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Naranja jugo,TUCUMAN,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,Buenos Aires,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasMinimas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasMinimas
Frutas,Manzana roja,CABA,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,NEUQUEN,Verano,temp4_22_up,ventasModeradas
Frutas,Manzana roja,NEUQUEN,Verano,temp3_17_22,ventasModeradas
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Frutas,Manzana roja,TUCUMAN,Verano,temp4_22_up,ventasMayor
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasMinimas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasModeradas
Verduras,Ajo,Buenos Aires,Verano,temp4_22_up,ventasModeradas
